"DP_Name","TP_Name","EdgeID",Vertical,"Sub Vertical",City,State,"Server Type","Sub Server Type",Reach,"No of Aps",Capex,Opex,"Deal Value","Deal Term",Revenue,"Budget for Ops","Budget for Connectivity","Actual spends on connectivity",Active
CMRL,"Train no.101",ebb954,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.113",baa49f,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.110",2acc40,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.139",16755b,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.120",11094c,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.125",77da66,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.116",875a04,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.114",6b6072,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
RailTel,TP_4_Coach_U-1370_wvhdujpqrfkmhbjjysxb_1600673820808_0,c62a3d,"Public Transport","Suburban Train",NULL,NULL,Mobile,Railtel_Pilot_EC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,"Train no.136",d45fe7,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,Train#(115),bc0d38,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(119),0153fb,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(104),930d08,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(141),b24253,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(130),deb226,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(142),c2ac29,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(134),49347e,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CMRL,Train#(127),043f79,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ISP,"EXPL GOA",5547a4,"Public Places",Basti,NULL,NULL,Static,default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ISP,MahaMedia,6a169f,"Public Places",Basti,NULL,NULL,Static,CT_Static,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ISP,HNS_ISP,b0523d,"Public Places",Basti,NULL,NULL,Static,deployed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NMMT,MH43H5095,fb1ff3,"Public Transport","City Bus",NULL,NULL,Mobile,c2cBus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"Central Railways","Central railway Train no 1109",21520b,"Public Transport","Suburban Train",NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.143",1a3f98,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.151",0e56ff,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.152",6700d4,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
